 DISTRICT,BLOCK,PANCHAYAT
 ANUGUL, ANUGUL, ANGARBANDHA
 ANUGUL, ANUGUL, ANTULA
 ANUGUL, ANUGUL, BADAKERA
 ANUGUL, ANUGUL, BADAKERA
 ANUGUL, ANUGUL, BALANGA
 ANUGUL, ANUGUL, BALASINGHA
 ANUGUL, ANUGUL, BALUAKATA
 ANUGUL, ANUGUL, BANTALA
 ANUGUL, ANUGUL, BARAGAUNIA
 ANUGUL, ANUGUL, BASALA
 ANUGUL, ANUGUL, BEDASASAN
 ANUGUL, ANUGUL, DHOKUTA
 ANUGUL, ANUGUL, GADATARASHA
 ANUGUL, ANUGUL, INKARBANDHA
 ANUGUL, ANUGUL, JAGANNATHPUR
 ANUGUL, ANUGUL, KANGULA BENTAPUR
 ANUGUL, ANUGUL, KHALARI
 ANUGUL, ANUGUL, KHINDA
 ANUGUL, ANUGUL, KOTHABHUIN
 ANUGUL, ANUGUL, KUNURSINGHA
 ANUGUL, ANUGUL, MANIKJODI
 ANUGUL, ANUGUL, MATIASAHI
 ANUGUL, ANUGUL, NANDAPUR
 ANUGUL, ANUGUL, POKATUNGA
 ANUGUL, ANUGUL, PURUNAKOT
 ANUGUL, ANUGUL, RANTALAI
 ANUGUL, ANUGUL, SANKHAPUR
 ANUGUL, ANUGUL, SARADHAPUR
 ANUGUL, ANUGUL, TAINSI
 ANUGUL, ANUGUL, TALAGARH
 ANUGUL, ANUGUL, TIKARPADA
 ANUGUL, ATHMALLIK, AIDA
 ANUGUL, ATHMALLIK, AMBASARAMUNDA
 ANUGUL, ATHMALLIK, BASUDEVPUR
 ANUGUL, ATHMALLIK, JAMUDOLI
 ANUGUL, ATHMALLIK, KAMPALA
 ANUGUL, ATHMALLIK, KATAPADA
 ANUGUL, ATHMALLIK, KHANDAPADA
 ANUGUL, ATHMALLIK, KIAKATA
 ANUGUL, ATHMALLIK, KRUTIBASHPUR
 ANUGUL, ATHMALLIK, KUDAGAON
 ANUGUL, ATHMALLIK, KURUMTAP
 ANUGUL, ATHMALLIK, LUHASINGHA
 ANUGUL, ATHMALLIK, LUNAHANDI
 ANUGUL, ATHMALLIK, MADHAPUR
 ANUGUL, ATHMALLIK, MAIMURA
 ANUGUL, ATHMALLIK, NAGOAN
 ANUGUL, ATHMALLIK, PAIKASAHI
 ANUGUL, ATHMALLIK, PEDIPATHARA
 ANUGUL, ATHMALLIK, PURUNMANTRI
 ANUGUL, ATHMALLIK, SANAHULA
 ANUGUL, ATHMALLIK, SAPAGHARA
 ANUGUL, ATHMALLIK, TAPADHOL
 ANUGUL, ATHMALLIK, THAKURAGARH
 ANUGUL, ATHMALLIK, TUSAR
